Name,2017-18 Salary,2018-19 Salary,2019-20 Salary,2020-21 Salary,Contract Type,Name,Team
Jonas Valanciunas,15460675,16539326.0,17617977.0,,1st Round Pick,Jonas Valanciunas,TOR
Tony Parker,15453126,,,,Bird Rights,Tony Parker,SAS
Timofey Mozgov,15280000,16000000.0,16720000.0,,Cap Space,Timofey Mozgov,BRK
Andre Iguodala,14814815,16000000.0,17185185.0,,Bird Rights,Andre Iguodala,GSW
DeMarre Carroll,14800000,15400000.0,,,Cap Space,DeMarre Carroll,BRK
Thaddeus Young,14796348,13764045.0,,,Bird Rights,Thaddeus Young,IND
Eric Bledsoe,14500000,15000000.0,,,Bird Rights,Eric Bledsoe,MIL
Ricky Rubio,14275000,14975000.0,,,1st Round Pick,Ricky Rubio,UTA
Joe Ingles,14136364,13045455.0,11954546.0,10863637.0,Bird Rights,Joe Ingles,UTA
Gorgui Dieng,14112360,15170787.0,16229213.0,17287640.0,1st Round Pick,Gorgui Dieng,MIN
Khris Middleton,14100000,13000000.0,13000000.0,,Bird Rights,Khris Middleton,MIL
Mason Plumlee,14041096,12917808.0,14041096.0,,Cap space,Mason Plumlee,DEN
Taj Gibson,14000000,14000000.0,,,Cap space,Taj Gibson,MIN
James Johnson,13954000,14651700.0,15349400.0,16047100.0,Cap space,James Johnson,MIA
Robin Lopez,13788500,14357750.0,,,Cap Space,Robin Lopez,CHI
J.R. Smith,13760000,14720000.0,15680000.0,,Bird Rights,J.R. Smith,CLE
Brandon Knight,13618750,14631250.0,15643750.0,,,Brandon Knight,PHO
Marvin Williams,13168750,14087500.0,15006250.0,,Cap Space,Marvin Williams,CHO
Tyson Chandler,13000000,13585000.0,,,Cap Space,Tyson Chandler,PHO
Michael Kidd-Gilchrist,13000000,13000000.0,13000000.0,,1st Round Pick,Michael Kidd-Gilchrist,CHO
Eric Gordon,12943020,13500375.0,14057730.0,,Cap Space,Eric Gordon,HOU
Kenneth Faried,12921348,13764045.0,,,1st Round Pick,Kenneth Faried,DEN
Marcin Gortat,12782609,13565218.0,,,Bird Rights,Marcin Gortat,LAC
Cody Zeller,12584270,13528090.0,14471910.0,15415730.0,1st Round Pick,Cody Zeller,CHO
Miles Plumlee,12500000,12500000.0,12500000.0,,Bird Rights,Miles Plumlee,ATL
Nikola Mirotic,12500000,12500000.0,,,Cap space,Nikola Mirotic,NOP
Zach Randolph,12307692,11692308.0,,,Cap space,Zach Randolph,SAC
Nikola Vucevic,12250000,12750000.0,,,Bird Rights,Nikola Vucevic,ORL
Solomon Hill,12236535,12752928.0,13258781.0,,Cap Space,Solomon Hill,NOP
Wilson Chandler,12016854,12800562.0,,,,Wilson Chandler,DEN
Derrick Favors,12000000,,,,1st Round Pick,Derrick Favors,UTA
Jeremy Lin,12000000,12516746.0,,,Cap Space,Jeremy Lin,BRK
Kemba Walker,12000000,12000000.0,,,1st Round Pick,Kemba Walker,CHO
Austin Rivers,11825000,12650000.0,,,Cap Space,Austin Rivers,WAS
Courtney Lee,11747890,12253780.0,12759670.0,,Cap Space,Courtney Lee,NYK
Nikola Pekovic,11600000,,,,,Nikola Pekovic,MIN
Jordan Clarkson,11562500,12500000.0,13437500.0,,Cap Space,Jordan Clarkson,CLE
John Henson,11422536,10577466.0,9732396.0,,1st Round Pick,John Henson,MIL
Dion Waiters,11000000,11550000.0,12100000.0,12650000.0,Cap space,Dion Waiters,MIA
Amir Johnson,11000000,,,,Cap space,Amir Johnson,PHI
Jamal Crawford,10942762,2304226.0,,,,Jamal Crawford,ATL
Alec Burks,10845506,11536515.0,,,1st Round Pick,Alec Burks,UTA
Patty Mills,10714286,11571429.0,12428571.0,13285714.0,Bird Rights,Patty Mills,SAS
Kelly Olynyk,10607169,11137527.0,11667885.0,12198243.0,Cap space,Kelly Olynyk,MIA
Omer Asik,10595505,11286516.0,11977527.0,,Bird Rights,Omer Asik,CHI
Terrence Ross,10500000,10500000.0,,,Rookie scale extension,Terrence Ross,ORL
Mirza Teletovic,10500000,10500000.0,,,,Mirza Teletovic,MIL
Bojan Bogdanovic,10500000,10500000.0,,,Cap space,Bojan Bogdanovic,IND
Jon Leuer,10497319,10002681.0,9508043.0,,Cap Space,Jon Leuer,DET
Iman Shumpert,10337079,11011234.0,,,Bird Rights,Iman Shumpert,SAC
Maurice Harkless,10162922,10837079.0,11511234.0,,Cap Space,Maurice Harkless,POR
Danny Green,10000000,10000000.0,,,Bird Rights,Danny Green,SAS
Darren Collison,10000000,10000000.0,,,Cap space,Darren Collison,IND
Jared Dudley,10000000,9530000.0,,,Cap Space,Jared Dudley,PHO
Meyers Leonard,9904495,10595506.0,11286515.0,,Cap Space,Meyers Leonard,POR
Tony Snell,9821429,10607143.0,11392857.0,12178571.0,Cap space,Tony Snell,MIL
Al Jefferson,9769821,10000000.0,,,Cap Space,Al Jefferson,IND
Matthew Dellavedova,9607500,9607500.0,9607500.0,,Cap Space,Matthew Dellavedova,MIL
Joe Johnson,9505000,,,,,Joe Johnson,SAC
Bogdan Bogdanovic,9470614,9000000.0,8529386.0,,Cap space,Bogdan Bogdanovic,SAC
Andre Roberson,9259259,10000000.0,10740741.0,,Bird Rights,Andre Roberson,OKC
Trevor Booker,9125000,,,,,Trevor Booker,PHI
Dwight Powell,9003125,9631250.0,10259375.0,,Cap Space,Dwight Powell,DAL
Jerryd Bayless,9000000,8575916.0,,,Cap Space,Jerryd Bayless,PHI
Avery Bradley,8808989,,,,Bird Rights,Avery Bradley,LAC
JaMychal Green,8533333,7866667.0,,,Bird Rights,JaMychal Green,MEM
E'Twaun Moore,8445024,8808685.0,8664928.0,,Cap Space,E'Twaun Moore,NOP
Rudy Gay,8406000,,,,MLE,Rudy Gay,SAS
Kosta Koufos,8393000,8739500.0,,,Cap Space,Kosta Koufos,SAC
Markieff Morris,8000000,8600000.0,,,Bird Rights,Markieff Morris,WAS
Garrett Temple,8000000,8000000.0,,,Cap Space,Garrett Temple,SAC
Vince Carter,8000000,,,,Cap space,Vince Carter,SAC
C.J. Miles,7936509,8333333.0,8730158.0,,MLE,C.J. Miles,TOR
Cristiano Felicio,7843500,8470980.0,8156500.0,7529020.0,Cap space,Cristiano Felicio,CHI
Shaun Livingston,7692308,8307692.0,7692308.0,,Bird Rights,Shaun Livingston,GSW
Cory Joseph,7630000,7945000.0,,,Cap Space,Cory Joseph,IND
P.J. Tucker,7590035,7969537.0,8349039.0,7969537.0,MLE,P.J. Tucker,HOU
Corey Brewer,7579366,,,,,Corey Brewer,LAL
Andrew Wiggins,7574322,25250000.0,27270000.0,29290000.0,1st Round Pick,Andrew Wiggins,MIN
Darrell Arthur,7464912,7464912.0,,,Cap Space,Darrell Arthur,DEN
Channing Frye,7420912,,,,Cap Space,Channing Frye,LAL
Trevor Ariza,7420912,,,,Bird Rights,Trevor Ariza,HOU
Al-Farouq Aminu,7319035,6957105.0,,,Cap Space,Al-Farouq Aminu,POR
Cole Aldrich,7300000,6956021.0,,,Cap Space,Cole Aldrich,MIN
D.J. Augustin,7250000,7250000.0,7250000.0,,Cap Space,D.J. Augustin,ORL
Markelle Fultz,7026240,8339880.0,9745200.0,12288697.0,1st Round Pick,Markelle Fultz,PHI
Lou Williams,7000000,8000000.0,8000000.0,1500000.0,Cap Space,Lou Williams,LAC
Kyle Korver,7000000,7560000.0,7500000.0,,Bird Rights,Kyle Korver,CLE
Jeremy Lamb,7000000,7488372.0,,,Rookie scale extension,Jeremy Lamb,CHO
Boban Marjanovic,7000000,7000000.0,,,Cap Space,Boban Marjanovic,LAC
Jae Crowder,6796117,7305825.0,7815533.0,,Bird Rights,Jae Crowder,UTA
Jabari Parker,6782392,,,,1st Round Pick,Jabari Parker,MIL
Langston Galloway,6666667,7000000.0,7333333.0,,MLE,Langston Galloway,DET
Lance Thomas,6655325,7119650.0,7583975.0,,Cap Space,Lance Thomas,NYK
Ed Davis,6352531,,,,Cap Space,Ed Davis,POR
Marco Belinelli,6306060,,,,,Marco Belinelli,ATL
Jonathon Simmons,6300000,6000000.0,5700000.0,,Cap space,Jonathon Simmons,ORL
Lonzo Ball,6286560,7461960.0,8719320.0,11003782.0,1st Round Pick,Lonzo Ball,LAL
Wayne Ellington,6270000,,,,Cap Space,Wayne Ellington,MIA
Isaiah Thomas,6261395,,,,,Isaiah Thomas,LAL
Karl-Anthony Towns,6216840,7839435.0,,,1st round pick,Karl-Anthony Towns,MIN
Ben Simmons,6168840,6434520.0,8113930.0,,1st Round pick,Ben Simmons,PHI
Joel Embiid,6100266,25250000.0,27270000.0,29290000.0,1st Round Pick,Joel Embiid,PHI
Spencer Hawes,6021175,,,,,Spencer Hawes,MIL
Josh McRoberts,6021175,,,,,Josh McRoberts,DAL
Dewayne Dedmon,6000000,6300000.0,,,Cap space,Dewayne Dedmon,ATL
Ish Smith,6000000,6000000.0,,,Cap Space,Ish Smith,DET
Milos Teodosic,6000000,6300000.0,,,MLE,Milos Teodosic,LAC
Alan Williams,6000000,5520000.0,5520000.0,,Cap space,Alan Williams,PHO
Shelvin Mack,6000000,,,,,Shelvin Mack,ORL
Ersan Ilyasova,6000000,,,,,Ersan Ilyasova,ATL
Tyler Johnson,5881260,19245370.0,19245370.0,,Cap Space,Tyler Johnson,MIA
Wesley Johnson,5881260,6134520.0,,,Cap Space,Wesley Johnson,LAC
Alex Abrines,5725000,5455236.0,,,Cap Space,Alex Abrines,OKC
Jayson Tatum,5645400,6700800.0,7830000.0,9897120.0,1st Round Pick,Jayson Tatum,BOS
D'Angelo Russell,5562360,7019698.0,,,1st round pick,D'Angelo Russell,BRK
Brandon Ingram,5519400,5757120.0,7265485.0,,1st Round pick,Brandon Ingram,LAL
Patrick Beverley,5513514,5027028.0,,,Bird Rights,Patrick Beverley,LAC
Aaron Gordon,5504420,,,,1st Round Pick,Aaron Gordon,ORL
Deron Williams,5500000,5500000.0,5500000.0,,,Deron Williams,BRK
Josh Smith,5400000,5400000.0,5400000.0,,,Josh Smith,DET
Thabo Sefolosha,5250000,5250000.0,,,Cap space,Thabo Sefolosha,UTA
Jason Smith,5225000,5450000.0,,,Cap Space,Jason Smith,WAS
Ben McLemore,5200000,5460000.0,,,MLE,Ben McLemore,MEM
Patrick Patterson,5192000,5451600.0,5711200.0,,MLE,Patrick Patterson,OKC
Nick Young,5192000,,,,MLE,Nick Young,GSW
Brandan Wright,5179760,,,,,Brandan Wright,MEM
Josh Jackson,5090040,6041520.0,7059480.0,8930242.0,1st Round Pick,Josh Jackson,PHO
Marcus Morris,5000000,5375000.0,,,Bird Rights,Marcus Morris,BOS
Mike Muscala,5000000,5000000.0,,,Cap space,Mike Muscala,ATL
Dirk Nowitzki,5000000,,,,Cap space,Dirk Nowitzki,DAL
Greg Monroe,5000000,,,,Disabled Player Exception,Greg Monroe,BOS
Jahlil Okafor,4995120,,,,1st round pick,Jahlil Okafor,BRK
Dante Exum,4992385,,,,1st Round Pick,Dante Exum,UTA
Alexis Ajinca,4961798,5285394.0,,,Early Bird Rights,Alexis Ajinca,NOP
Jaylen Brown,4956480,5169960.0,6534829.0,,1st Rd pick,Jaylen Brown,BOS
Jameer Nelson,4736050,,,,,Jameer Nelson,DEN
Kyle Singler,4666500,4996000.0,5333500.0,,Bird Rights,Kyle Singler,OKC
Justin Holiday,4615385,4384616.0,,,MLE,Justin Holiday,CHI
De'Aaron Fox,4609200,5407920.0,6392760.0,8099627.0,1st Round Pick,De'Aaron Fox,SAC
Marcus Smart,4538020,,,,1st Round Pick,Marcus Smart,BOS
Kristaps Porzingis,4503600,5697054.0,,,1st round pick,Kristaps Porzingis,NYK
Dragan Bender,4468800,4661280.0,5896519.0,,1st Round pick,Dragan Bender,PHO
Devin Harris,4402546,,,,Cap Space,Devin Harris,DEN
Aron Baynes,4328000,,,,Room Exception,Aron Baynes,BOS
Ron Baker,4328000,4544400.0,,,Room Exception,Ron Baker,NYK
Jamal Crawford,4328000,,,,,Jamal Crawford,MIN
Alex Len,4187599,,,,1st Round Pick,Alex Len,PHO
Nerlens Noel,4187599,,,,1st Round Pick,Nerlens Noel,DAL
Jonathan Isaac,4186320,4969080.0,5806440.0,7362566.0,1st Round Pick,Jonathan Isaac,ORL
Lance Stephenson,4180000,,,,Cap space,Lance Stephenson,IND
Julius Randle,4149242,,,,1st Round Pick,Julius Randle,LAL
Kyle O'Quinn,4087500,,,,Bird Rights,Kyle O'Quinn,NYK
Mario Hezonja,4078320,,,,1st round pick,Mario Hezonja,ORL
Kris Dunn,4046760,4221000.0,5348007.0,,1st Round pick,Kris Dunn,CHI
Jonas Jerebko,4000000,,,,Cap space,Jonas Jerebko,UTA
Nemanja Bjelica,3949999,,,,MLE,Nemanja Bjelica,MIN
J.J. Barea,3903900,3710850.0,,,Cap Space,J.J. Barea,DAL
Quincy Pondexter,3853931,,,,,Quincy Pondexter,CHI
Lauri Markkanen,3821640,4536120.0,5300400.0,6731508.0,1st Round Pick,Lauri Markkanen,CHI
Nik Stauskas,3807146,,,,1st Round Pick,Nik Stauskas,BRK
Willie Cauley-Stein,3704160,4696875.0,,,1st round pick,Willie Cauley-Stein,SAC
Buddy Hield,3675480,3833760.0,4861208.0,,1st Round pick,Buddy Hield,SAC
Will Barton,3533333,,,,Bird Rights,Will Barton,DEN
Noah Vonleh,3505233,,,,1st Round Pick,Noah Vonleh,CHI
Frank Ntilikina,3501120,4155720.0,4855800.0,6176578.0,1st Round Pick,Frank Ntilikina,NYK
Nene Hilario,3477600,3651480.0,3825360.0,,Non-Bird Rights,Nene Hilario,HOU
Zaza Pachulia,3477600,,,,,Zaza Pachulia,GSW
Troy Daniels,3408520,3258540.0,,,Cap Space,Troy Daniels,PHO
Emmanuel Mudiay,3381480,4294480.0,,,1st round pick,Emmanuel Mudiay,NYK
Jamal Murray,3355320,3499800.0,4444746.0,,1st Round pick,Jamal Murray,DEN
Elfrid Payton,3332340,,,,1st Round Pick,Elfrid Payton,PHO
Rajon Rondo,3300000,,,,MLE,Rajon Rondo,NOP
Doug McDermott,3294994,,,,1st Round Pick,Doug McDermott,DAL
Jodie Meeks,3290000,3454500.0,,,Bi-annual Exception,Jodie Meeks,WAS
Tyreke Evans,3290000,,,,Bi-annual Exception,Tyreke Evans,MEM
Tarik Black,3290000,,,,Bi-annual Exception,Tarik Black,HOU
Anthony Tolliver,3290000,,,,Bi-annual Exception,Anthony Tolliver,DET
Dennis Smith,3218280,3819960.0,4463640.0,5686677.0,1st Round Pick,Dennis Smith,DAL
Zach LaVine,3202217,,,,1st Round Pick,Zach LaVine,CHI
Ekpe Udoh,3200000,3360000.0,,,Room Exception,Ekpe Udoh,UTA
T.J. Warren,3152931,11750000.0,10810000.0,11750000.0,1st Round Pick,T.J. Warren,PHO
Stanley Johnson,3097800,3940402.0,,,1st round pick,Stanley Johnson,DET
Marquese Chriss,3073800,3206160.0,4078236.0,,1st Rd pick,Marquese Chriss,PHO
Zach Collins,3057240,3628920.0,4240200.0,5406255.0,1st Round Pick,Zach Collins,POR
James Ennis,3028410,,,,Room exception,James Ennis,DET
Seth Curry,3028410,,,,Room exception,Seth Curry,DAL
Mindaugas Kuzminskas,3025035,,,,,Mindaugas Kuzminskas,NYK
Tomas Satoransky,3000000,3129187.0,,,Cap Space,Tomas Satoransky,WAS
Rajon Rondo,3000000,,,,,Rajon Rondo,CHI
Jusuf Nurkic,2947305,,,,1st Round Pick,Jusuf Nurkic,POR
Lucas Nogueira,2947305,,,,1st Round Pick,Lucas Nogueira,TOR
Malik Monk,2904480,3447480.0,4028400.0,5345687.0,1st Round Pick,Malik Monk,CHO
Frank Kaminsky,2847600,3627842.0,,,1st round pick,Frank Kaminsky,CHO
Andrew Nicholson,2844429,2844429.0,2844429.0,2844429.0,,Andrew Nicholson,POR
Jakob Poeltl,2825640,2947320.0,3754886.0,,1st Round pick,Jakob Poeltl,TOR
Luke Kennard,2759280,3275280.0,3827160.0,5273826.0,1st Round Pick,Luke Kennard,DET
Justise Winslow,2705040,3448926.0,,,1st round pick,Justise Winslow,MIA
Michael Carter-Williams,2700000,,,,Bi-annual Exception,Michael Carter-Williams,CHO
Thon Maker,2684160,2799720.0,3569643.0,,1st Round pick,Thon Maker,MIL
Cedi Osman,2642857,2775000.0,2907143.0,,MLE,Cedi Osman,CLE
Donovan Mitchell,2621280,3111480.0,3635760.0,5195501.0,1st Round Pick,Donovan Mitchell,UTA
Myles Turner,2569920,3410284.0,,,1st round pick,Myles Turner,IND
Gary Harris,2550055,16517857.0,17839286.0,19160714.0,1st Round Pick,Gary Harris,DEN
Domantas Sabonis,2550000,2659800.0,3529555.0,,1st Round pick,Domantas Sabonis,IND
Manu Ginobili,2500000,2500000.0,,,,Manu Ginobili,SAS
Reggie Bullock,2500000,2500000.0,,,Cap space,Reggie Bullock,DET
Richard Jefferson,2500000,,,,,Richard Jefferson,ATL
Malcolm Delaney,2500000,,,,Room Exception,Malcolm Delaney,ATL
Bam Adebayo,2490360,2955840.0,3454080.0,5115492.0,1st Round Pick,Bam Adebayo,MIA
Bruno Caboclo,2451225,,,,1st Round Pick,Bruno Caboclo,SAC
Ronnie Price,2442455,,,,,Ronnie Price,OKC
Trey Lyles,2441400,3364249.0,,,1st round pick,Trey Lyles,DEN
Dario Saric,2422560,2526840.0,3481986.0,,1st Round pick,Dario Saric,PHI
Taurean Waller-Prince,2422560,2526840.0,3481986.0,,1st Round pick,Taurean Waller-Prince,ATL
Rodney Hood,2386864,,,,1st Round Pick,Rodney Hood,CLE
Justin Jackson,2365560,2807880.0,3280920.0,5029650.0,1st Round Pick,Justin Jackson,SAC
Shabazz Napier,2361360,,,,1st Round Pick,Shabazz Napier,POR
Clint Capela,2334520,,,,1st Round Pick,Clint Capela,HOU
Arron Afflalo,2328652,,,,Minimum Salary,Arron Afflalo,ORL
Nick Collison,2328652,,,,Minimum Salary,Nick Collison,OKC
Raymond Felton,2328652,,,,Minimum Salary,Raymond Felton,OKC
Ramon Sessions,2328652,,,,,Ramon Sessions,NYK
Jarrett Jack,2328652,,,,Minimum Salary,Jarrett Jack,NYK
Jason Terry,2328652,,,,Minimum Salary,Jason Terry,MIL
Udonis Haslem,2328652,,,,Minimum Salary,Udonis Haslem,MIA
Dwyane Wade,2328652,,,,Minimum Salary,Dwyane Wade,MIA
David West,2328652,,,,Minimum Salary,David West,GSW
Richard Jefferson,2328652,,,,Minimum Salary,Richard Jefferson,DEN
Jose Calderon,2328652,,,,Minimum Salary,Jose Calderon,CLE
Andrew Bogut,2328652,,,,,Andrew Bogut,LAL
Devin Booker,2319360,3314365.0,27250000.0,29430000.0,1st round pick,Devin Booker,PHO
Georgios Papagiannis,2301360,2400480.0,3430288.0,,,Georgios Papagiannis,SAC
Dante Cunningham,2300000,,,,MLE,Dante Cunningham,BRK
Jameer Nelson,2262871,,,,,Jameer Nelson,DET
Justin Patton,2247480,2667600.0,3117240.0,4781846.0,1st Round Pick,Justin Patton,MIN
Guerschon Yabusele,2247480,2667600.0,3117240.0,4781846.0,1st Round Pick,Guerschon Yabusele,BOS
Monta Ellis,2245400,2245400.0,2245400.0,2245400.0,,Monta Ellis,IND
Cameron Payne,2203440,3263295.0,,,1st round pick,Cameron Payne,CHI
Denzel Valentine,2186400,2280600.0,3377569.0,,1st Round pick,Denzel Valentine,CHI
Josh Smith,2183934,,,,,Josh Smith,NOP
Kyle Anderson,2151704,,,,1st Round Pick,Kyle Anderson,SAS
D.J. Wilson,2135040,2534280.0,2961120.0,4548280.0,1st Round Pick,D.J. Wilson,MIL
Matt Barnes,2133542,2133542.0,2133541.0,,,Matt Barnes,SAC
Derrick Rose,2116955,,,,,Derrick Rose,UTA
Marreese Speights,2116955,,,,Minimum Salary,Marreese Speights,ORL
Michael Beasley,2116955,,,, Minimum Salary,Michael Beasley,NYK
Aaron Brooks,2116955,,,,,Aaron Brooks,MIN
Luc Mbah a Moute,2116955,,,,Minimum Salary,Luc Mbah a Moute,HOU
JaVale McGee,2116955,,,,,JaVale McGee,GSW
Jeff Green,2116955,,,,Minimum Salary,Jeff Green,CLE
Tony Allen,2116955,,,,,Tony Allen,CHI
Damien Wilkins,2116955,,,,,Damien Wilkins,IND
Omri Casspi,2106470,,,,,Omri Casspi,GSW
Mario Chalmers,2106407,,,,Minimum Salary,Mario Chalmers,MEM
Darius Miller,2100000,2205000.0,,,MLE,Darius Miller,NOP
Kelly Oubre,2093040,3208630.0,,,1st round pick,Kelly Oubre,WAS
Juan Hernangomez,2076840,2166360.0,3321030.0,,1st Round pick,Juan Hernangomez,DEN
T.J. Leaf,2028360,2407560.0,2813280.0,4326825.0,1st Round Pick,T.J. Leaf,IND
Tim Frazier,2000000,,,,Room exception,Tim Frazier,WAS
Anthony Tolliver,2000000,,,,,Anthony Tolliver,SAC
Terry Rozier,1988520,3050390.0,,,1st round pick,Terry Rozier,BOS
Luke Babbitt,1974159,,,,Minimum Salary,Luke Babbitt,MIA
John Collins,1936920,2299080.0,2686560.0,4137302.0,1st Round Pick,John Collins,ATL
Anderson Varejao,1913345,1913345.0,1913345.0,1913345.0,,Anderson Varejao,POR
Rashad Vaughn,1889040,,,,,Rashad Vaughn,NOP
Tim Duncan,1881250,1881250.0,,,,Tim Duncan,SAS
Wade Baldwin,1874400,,,,,Wade Baldwin,MEM
Larry Sanders,1865547,1865547.0,1865547.0,1865547.0,,Larry Sanders,MIL
Harry Giles,1859400,2207040.0,2578800.0,3976510.0,1st Round Pick,Harry Giles,SAC
Sam Dekker,1794600,2760095.0,,,1st Round pick,Sam Dekker,LAC
